Future Islands,Seasons (Waiting on You)
iLoveMakonnen,Club Goin Up on a Tuesday [ft. Drake]
FKA twigs,Two Weeks
Caribou,Can't Do Without You
The War on Drugs,Red Eyes
Run the Jewels,Close Your Eyes (And Count to Fuck) [ft. Zack De La Rocha]
Beyonce,***Flawless [ft. Chimamanda Ngozi Adichie]
Perfume Genius,Queen
Future,Move That Dope [ft. Pharrell Pusha T and Casino]
Michael Jackson,Love Never Felt So Good (Original Version)
Shamir,On the Regular
Drake,0 to 100 / The Catch Up
Todd Terje,Johnny and Mary [ft. Bryan Ferry] (Robert Palmer cover)
QT,Hey QT
Lil B,No Black Person Is Ugly
Young Thug,Stoner
Tinashe,2 On [ft. Schoolboy Q]
Panda Bear,Mr Noah
Sun Kil Moon,Carissa
Nicki Minaj,Boss Ass Bitch (Remix) [ft. PTAF]
Sophie,Lemonade / Hard
Ex Hex,Don't Wanna Lose
Flying Lotus,Never Catch Me [ft. Kendrick Lamar]
St. Vincent,Digital Witness
Vic Mensa,Down on My Luck
Beyonce,Partition
Sharon Van Etten,Your Love Is Killing Me
Grouper,Holding
Spoon,Do You
A. G. Cook,Beautiful
Aphex Twin,minipops 67 [120.2][source field mix]
Swans,Oxygen
Ariana Grande,Problem [ft. Iggy Azalea]
Tobias Jesso Jr.,True Love
FKA twigs,Pendulum
Mac DeMarco,Passing Out Pieces
Charli XCX,Boom Clap
Bobby Shmurda,Hot Nigga
Real Estate,Talking Backwards
Jessie Ware,Tough Love
The War on Drugs,An Ocean in Between the Waves
Ariana Grande,Love Me Harder [ft. The Weeknd]
St. Vincent,Prince Johnny
Angel Olsen,Lights Out
Ariel Pink,Put Your Number in My Phone
Mr Twin Sister,In the House of Yes
Nils Frahm,Says
Lykke Li,Gunshot
Run the Jewels,Blockbuster Night Pt. 1
Taylor Swift,Style
Owen Pallett,I Am Not Afraid
Todd Terje,Delorean Dynamite
Perfect Pussy,Interference Fits
Spoon,Inside Out
Kendrick Lamar,i
Migos,Fight Night
Dej Loaf,Try Me
Against Me!,Transgender Dysphoria Blues
Alvvays,Archie Marry Me
Ariel Pink,Picture Me Gone
Perfume Genius,Fool
YG,Left Right
Eno/Hyde,Return
Leon Vynehall,Goodthing
Iceage,The Lord's Favorite
How to Dress Well,Words I Don't Remember
White Lung,Face Down
Grouper,Clearing
Rich Gang,Lifestyle
Azealia Banks,Chasing Time
Parquet Courts,Sunbathing Animal
Ty Segall,The Singer
Makthaverskan,Asleep
Holly Herndon,Chorus
Pharmakon,Bestial Burden
Royksopp / Robyn,Do It Again
Rae Sremmurd,No Flex Zone
Rustie,Attak [ft. Danny Brown]
A Sunny Day in Glasgow,In Love With Useless (The Timeless Geometry In The Tradition Of Passing)
Shellac,Dude Incredible
Andy Stott,Faith in Strangers
Jessica Pratt,Back Baby
Ought,Habit
Father John Misty,Bored in the USA
Arca,Thievery
Vince Staples,Blue Suede
Viet Cong,Continental Shelf
Lauryn Hill,Black Rage (Sketch)
Cloud Nothings,I'm Not Part of Me
Protomartyr,Scum Rise!
Hundred Waters,Murmurs
iLoveMakonnen,I Don't Sell Molly No More
The New Pornographers,War on the East Coast
Taylor Swift,Out of the Woods
Cymbals Eat Guitars,Jackson
DJ Quik,Pet Sematary
Copeland,Advice to Young Girls [ft. Actress]
Merchandise,Green Lady
Steve Gunn,Milly's Garden
Elisa Ambrogio,Superstitious
